epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8397,4.11621,14.721,1.70786,0.00638,0.02667,0.00192,0.00067,3.51924,663.301,1.32551,0.00032381,0.00032381,0.00032381
2,29.2633,3.2528,3.83004,1.17661,0.01805,0.05806,0.01382,0.00594,3.63306,inf,1.7734,0.000644131,0.000644131,0.000644131
3,43.4025,2.96756,2.99299,1.07241,0.0182,0.14618,0.00749,0.00258,nan,nan,nan,0.000951253,0.000951253,0.000951253
4,54.7158,2.8711,2.6785,1.03883,0.1221,0.02177,0.01827,0.00539,3.48904,4.1534,1.0418,0.0009406,0.0009406,0.0009406
5,65.7084,2.68523,2.36612,1.01302,0.33173,0.21438,0.16752,0.04393,3.31657,2.48839,1.07283,0.0009208,0.0009208,0.0009208
6,77.2042,2.5557,2.08376,0.98488,0.45284,0.44383,0.36826,0.12371,2.54065,5.03947,0.95843,0.000901,0.000901,0.000901
7,88.5157,2.4381,1.9486,0.96855,0.49422,0.3546,0.35101,0.11949,2.77406,2.09564,0.98745,0.0008812,0.0008812,0.0008812
8,99.3706,2.44133,1.92646,0.96473,0.59062,0.52277,0.54615,0.18954,2.38951,1.70249,0.94509,0.0008614,0.0008614,0.0008614
9,112.256,2.35779,1.78134,0.94072,0.70821,0.55372,0.60681,0.21204,2.3185,1.60141,0.92819,0.0008416,0.0008416,0.0008416
10,129.075,2.30408,1.6602,0.94713,0.70087,0.60877,0.65619,0.25826,2.24862,1.45214,0.91976,0.0008218,0.0008218,0.0008218
11,140.709,2.2589,1.64912,0.93064,0.88669,0.62847,0.72754,0.30507,2.06345,1.29969,0.89583,0.000802,0.000802,0.000802
12,152.369,2.21238,1.55698,0.91998,0.67805,0.54645,0.57634,0.19666,2.36499,1.50607,0.92581,0.0007822,0.0007822,0.0007822
13,163.038,2.20957,1.48666,0.91837,0.75686,0.61687,0.66766,0.2395,2.31721,1.38773,0.92008,0.0007624,0.0007624,0.0007624
14,173.978,2.14173,1.38383,0.91506,0.87907,0.60882,0.73928,0.32374,2.01329,1.31935,0.88993,0.0007426,0.0007426,0.0007426
15,185.531,2.13248,1.38981,0.91541,0.77956,0.64738,0.71363,0.28541,2.23027,1.29315,0.91399,0.0007228,0.0007228,0.0007228
16,196.422,2.15404,1.36284,0.91531,0.80862,0.67628,0.73732,0.31636,2.06038,1.26759,0.89945,0.000703,0.000703,0.000703
17,207.138,2.07449,1.31182,0.8978,0.84623,0.73024,0.7975,0.35595,1.95002,1.12843,0.88731,0.0006832,0.0006832,0.0006832
18,223.496,2.06589,1.31593,0.90644,0.8564,0.70151,0.78119,0.3408,1.99141,1.1539,0.89777,0.0006634,0.0006634,0.0006634
19,234.502,2.06637,1.28049,0.91555,0.86972,0.72201,0.80273,0.35365,1.97694,1.08184,0.88531,0.0006436,0.0006436,0.0006436
20,245.567,2.01471,1.28581,0.90561,0.89587,0.73071,0.80775,0.36523,1.9532,1.06833,0.88194,0.0006238,0.0006238,0.0006238
21,257.078,2.04752,1.28553,0.90326,0.84183,0.68666,0.7727,0.33712,2.00385,1.13714,0.88806,0.000604,0.000604,0.000604
22,267.977,1.99985,1.21245,0.89804,0.86703,0.72317,0.78074,0.32089,2.05409,1.12219,0.89063,0.0005842,0.0005842,0.0005842
23,278.769,2.00213,1.20619,0.89463,0.87282,0.75212,0.8162,0.35471,1.94047,1.04781,0.87964,0.0005644,0.0005644,0.0005644
24,290.015,1.93913,1.14238,0.88726,0.79265,0.77206,0.82544,0.35902,1.93219,1.07041,0.88046,0.0005446,0.0005446,0.0005446
25,300.92,1.91591,1.11536,0.8837,0.89012,0.75232,0.83649,0.38087,1.90678,1.01965,0.88035,0.0005248,0.0005248,0.0005248
26,312.415,1.96486,1.18041,0.89451,0.86654,0.76408,0.8366,0.35701,1.94643,1.04263,0.88032,0.000505,0.000505,0.000505
27,323.312,1.92777,1.122,0.88143,0.91155,0.76688,0.84933,0.37144,1.90072,0.98127,0.87386,0.0004852,0.0004852,0.0004852
28,334.09,1.91423,1.08588,0.87731,0.91594,0.78998,0.86284,0.38223,1.86608,0.95747,0.86898,0.0004654,0.0004654,0.0004654
29,345.662,1.89233,1.10301,0.87521,0.92712,0.75816,0.84876,0.38067,1.91088,1.01122,0.87234,0.0004456,0.0004456,0.0004456
30,356.267,1.86903,1.10649,0.87642,0.8953,0.78743,0.85165,0.38021,1.90385,0.95376,0.87884,0.0004258,0.0004258,0.0004258
31,367.156,1.8262,1.01468,0.87183,0.90147,0.77649,0.83674,0.38175,1.92214,0.9733,0.87454,0.000406,0.000406,0.000406
32,378.04,1.84971,1.0137,0.87953,0.91444,0.79692,0.8607,0.41032,1.83833,0.91682,0.86741,0.0003862,0.0003862,0.0003862
33,391.282,1.86261,1.03226,0.87487,0.91383,0.75332,0.83604,0.37681,1.85682,0.98928,0.86399,0.0003664,0.0003664,0.0003664
34,402.407,1.84064,1.01852,0.86535,0.9171,0.79057,0.86497,0.39401,1.83771,0.93289,0.86607,0.0003466,0.0003466,0.0003466
35,413.228,1.79418,0.97969,0.8631,0.89639,0.79398,0.85323,0.3765,1.8667,0.9517,0.86616,0.0003268,0.0003268,0.0003268
