epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2918,4.4275,35.1353,1.90017,0.5004,0.02,0.00019,8e-05,3.58751,30.0475,1.37892,0.00032381,0.00032381,0.00032381
2,18.1896,3.47369,4.54181,1.22363,0.5485,0.08004,0.07944,0.03113,3.12582,3.71352,1.14445,0.000644131,0.000644131,0.000644131
3,25.2716,3.16714,3.40224,1.11969,0.4004,0.1995,0.1415,0.04332,2.99043,4.19787,1.06834,0.000951253,0.000951253,0.000951253
4,33.131,3.03987,3.00209,1.06515,0.41765,0.16001,0.12257,0.04118,3.26705,5.4775,1.5742,0.0009406,0.0009406,0.0009406
5,39.7514,2.81169,2.65728,1.01912,0.34608,0.27832,0.25486,0.08454,2.75794,2.59812,1.00733,0.0009208,0.0009208,0.0009208
6,47.4119,2.66149,2.37743,0.99348,0.40926,0.32756,0.31051,0.10215,2.68676,2.158,0.98512,0.000901,0.000901,0.000901
7,54.0678,2.57053,2.17208,0.98762,0.44011,0.38096,0.35282,0.1251,2.59595,2.01382,0.9729,0.0008812,0.0008812,0.0008812
8,61.7939,2.52192,2.14864,0.97662,0.48911,0.45502,0.47413,0.1792,2.34912,1.95891,0.95531,0.0008614,0.0008614,0.0008614
9,69.3062,2.5248,2.05698,0.95922,0.55486,0.47158,0.49861,0.19005,2.36132,1.81932,0.9562,0.0008416,0.0008416,0.0008416
10,76.0862,2.40821,1.9077,0.96348,0.55832,0.49207,0.50822,0.18318,2.43558,1.68483,0.9502,0.0008218,0.0008218,0.0008218
11,83.6478,2.38653,1.84328,0.95191,0.60742,0.5493,0.56042,0.22109,2.2431,1.56011,0.92955,0.000802,0.000802,0.000802
12,90.1805,2.37095,1.79264,0.93639,0.62125,0.55265,0.57034,0.19584,2.33864,1.59994,0.93393,0.0007822,0.0007822,0.0007822
13,97.7083,2.32531,1.69011,0.93223,0.6708,0.5517,0.57327,0.20814,2.27452,1.5865,0.92572,0.0007624,0.0007624,0.0007624
14,104.184,2.24203,1.64735,0.9287,0.71141,0.61581,0.65001,0.27428,2.10592,1.41128,0.91527,0.0007426,0.0007426,0.0007426
15,111.734,2.23167,1.57246,0.93007,0.70188,0.58715,0.65945,0.28419,2.09021,1.40648,0.90981,0.0007228,0.0007228,0.0007228
16,118.307,2.19965,1.50608,0.92054,0.7849,0.56244,0.66412,0.27272,2.13098,1.42244,0.91702,0.000703,0.000703,0.000703
17,125.819,2.19121,1.5032,0.91311,0.78875,0.59183,0.69063,0.29016,2.09114,1.35513,0.91262,0.0006832,0.0006832,0.0006832
18,132.521,2.18993,1.48973,0.92267,0.74754,0.67205,0.73461,0.30359,2.07648,1.32762,0.90336,0.0006634,0.0006634,0.0006634
19,139.972,2.17302,1.44943,0.93059,0.81487,0.66414,0.74046,0.32237,2.02145,1.24984,0.89766,0.0006436,0.0006436,0.0006436
20,147.439,2.1115,1.44676,0.91606,0.82611,0.59828,0.72089,0.29835,2.06314,1.25274,0.89765,0.0006238,0.0006238,0.0006238
21,154.008,2.123,1.41754,0.90811,0.75208,0.67265,0.7307,0.31245,2.01734,1.21878,0.88995,0.000604,0.000604,0.000604
22,161.393,2.07649,1.34494,0.90671,0.8076,0.66725,0.76609,0.31208,2.04906,1.20406,0.89192,0.0005842,0.0005842,0.0005842
23,168.04,2.08188,1.39606,0.90568,0.78813,0.70296,0.77132,0.32101,2.04446,1.20233,0.89119,0.0005644,0.0005644,0.0005644
24,175.659,2.04818,1.33346,0.90206,0.8409,0.6271,0.75308,0.30444,2.03994,1.22399,0.89017,0.0005446,0.0005446,0.0005446
25,182.188,2.03677,1.28983,0.89903,0.78686,0.70028,0.76275,0.32064,2.02983,1.19605,0.88981,0.0005248,0.0005248,0.0005248
26,189.661,2.0623,1.33004,0.90568,0.82487,0.69792,0.78885,0.3339,2.03504,1.15573,0.88761,0.000505,0.000505,0.000505
27,196.209,2.00381,1.26904,0.89302,0.81512,0.70233,0.77126,0.32833,2.01358,1.13453,0.88705,0.0004852,0.0004852,0.0004852
28,203.882,2.04802,1.24563,0.89241,0.85281,0.74919,0.81262,0.35828,1.95024,1.06042,0.88444,0.0004654,0.0004654,0.0004654
29,210.599,2.00732,1.24054,0.89002,0.84121,0.7016,0.80054,0.36426,1.91991,1.09114,0.87582,0.0004456,0.0004456,0.0004456
30,218.042,1.95174,1.23486,0.88368,0.8601,0.67269,0.78267,0.32854,2.02843,1.1201,0.8867,0.0004258,0.0004258,0.0004258
31,225.16,1.95507,1.18607,0.88563,0.83035,0.71302,0.77297,0.32547,2.05923,1.09517,0.89225,0.000406,0.000406,0.000406
32,231.968,1.9575,1.1651,0.8927,0.81586,0.76744,0.80542,0.36481,1.92876,1.06525,0.8749,0.0003862,0.0003862,0.0003862
33,239.454,1.96297,1.18479,0.88574,0.81614,0.71486,0.78024,0.33579,1.97804,1.10376,0.87917,0.0003664,0.0003664,0.0003664
34,246.009,1.91533,1.13115,0.87349,0.85333,0.7434,0.80542,0.35952,1.95418,1.04471,0.87946,0.0003466,0.0003466,0.0003466
35,253.484,1.88234,1.11607,0.87357,0.87094,0.74266,0.80786,0.35472,1.95021,1.04123,0.87832,0.0003268,0.0003268,0.0003268
36,260.068,1.91531,1.1231,0.87447,0.8891,0.73122,0.80924,0.36623,1.91212,1.02023,0.87635,0.000307,0.000307,0.000307
37,267.881,1.91902,1.17588,0.87704,0.85344,0.74826,0.82661,0.37546,1.90143,1.03546,0.87367,0.0002872,0.0002872,0.0002872
38,274.467,1.86858,1.10302,0.86374,0.83271,0.77863,0.83972,0.38687,1.86591,0.99104,0.86863,0.0002674,0.0002674,0.0002674
39,282.121,1.8564,1.11696,0.86717,0.87217,0.74136,0.82417,0.37444,1.92044,1.00492,0.8741,0.0002476,0.0002476,0.0002476
40,288.98,1.83845,1.05791,0.87138,0.86758,0.74818,0.81878,0.36713,1.92675,1.04991,0.88373,0.0002278,0.0002278,0.0002278
41,297.274,1.76539,0.97385,0.87654,0.91325,0.76409,0.82949,0.37965,1.89397,1.01494,0.8747,0.000208,0.000208,0.000208
42,304.737,1.73445,0.95967,0.87211,0.87712,0.73958,0.8158,0.35232,1.93599,1.02035,0.87724,0.0001882,0.0001882,0.0001882
43,311.084,1.70561,0.94293,0.88251,0.88442,0.76801,0.83499,0.38115,1.88472,0.99746,0.87342,0.0001684,0.0001684,0.0001684
